date,long,short,long_short
2018-01-31,-0.03195517543859649,-0.037642486443381175,0.005687311004784687
2018-02-28,0.015411642172523962,0.0027193099041533542,0.012692332268370608
2018-03-29,0.0188834928,0.0027351472,0.0161483456
2018-04-30,0.07958816932907349,0.038504118210862616,0.041084051118210875
2018-05-31,0.006410300319488818,0.014819915335463259,-0.008409615015974441
2018-06-29,0.012640017488076312,0.0012934880763116059,0.011346529411764707
2018-07-31,0.05538833174603175,0.031459938095238095,0.023928393650793654
2018-08-31,-0.014981350237717907,-0.016387418383518225,0.001406068145800318
2018-09-28,-0.1287109761904762,-0.09507900158730159,-0.0336319746031746
2018-10-31,-0.007835098412698414,0.001534747619047619,-0.009369846031746034
2018-11-30,-0.14720997133757963,-0.12224628503184713,-0.024963686305732494
2018-12-31,0.17025672204472844,0.1166261837060703,0.05363053833865815
2019-01-31,0.0620395016025641,0.049070040064102566,0.012969461538461534
2019-02-28,0.005069317817014446,-0.020636022471910112,0.025705340288924558
2019-03-29,0.021446163987138264,0.023981813504823153,-0.002535649517684889
2019-04-30,-0.07916348717948718,-0.06610130288461538,-0.013062184294871798
2019-05-31,0.07157058146964856,0.048255337060702876,0.02331524440894569
2019-06-28,0.00015208931419457772,-0.000811097288676236,0.0009631866028708137
2019-07-31,-0.05060894435612083,-0.04483227186009539,-0.0057766724960254395
2019-08-30,0.007839207336523126,0.016472913875598086,-0.00863370653907496
2019-09-30,0.017920654952076676,-0.001623800637958533,0.019544455590035207
2019-10-31,0.07053696331738436,0.021287390749601277,0.04924957256778309
2019-11-29,0.055444451923076926,0.058965125,-0.003520673076923074
2019-12-31,-0.004005794542536116,-0.0021928796147672558,-0.00181291492776886
2020-01-31,-0.050119793269230765,-0.07368827243589744,0.023568479166666677
2020-02-28,-0.2144111712,-0.2361240992,0.021712927999999992
2020-03-31,0.20284740288924558,0.20177613643659711,0.0010712664526484617
2020-04-30,0.11366160032102729,0.090492088282504,0.023169512038523285
2020-05-29,0.04882089855072464,0.07225080032206119,-0.023429901771336546
2020-06-30,0.058843651125401936,0.04204493890675241,0.016798712218649522
2020-07-31,0.05446971474358975,0.055831499199999995,-0.0013617844564102477
2020-08-31,-0.017287920382165606,-0.024560224522292996,0.007272304140127389
2020-09-30,0.017774408585055645,-0.0005591065182829891,0.018333515103338634
2020-10-30,0.20115527044025158,0.20163165566037736,-0.00047638522012577456
2020-11-30,0.07594632812499999,0.12326361562499999,-0.0473172875
2020-12-31,0.09440362577639752,0.12518696273291927,-0.030783336956521745
2021-01-29,0.07191233796296297,0.09226012962962964,-0.02034779166666667
2021-02-26,-0.027369895865237366,0.047188565749235474,-0.07455846161447284
2021-03-31,-0.0018057333333333344,0.018984975757575757,-0.02079070909090909
2021-04-30,-0.000840517964071856,0.021830684131736527,-0.022671202095808383
2021-05-28,0.04785376041666667,0.002601627976190477,0.04525213244047619
2021-06-30,-0.06635519734904272,-0.019544144117647058,-0.04681105323139566
2021-07-30,0.04374398113207547,0.016762298984034835,0.026981682148040635
2021-08-31,-0.039024362193362194,-0.019165940922190202,-0.019858421271171992
2021-09-30,0.006591393419170244,0.033606270386266096,-0.02701487696709585
2021-10-29,-0.08467179800853485,-0.018914318634423898,-0.06575747937411094
2021-11-30,-0.029831882933709447,0.012788861971830986,-0.042620744905540436
2021-12-31,-0.14020616269284714,-0.04476831136044881,-0.09543785133239832
2022-01-31,0.0023493715083798875,-0.020824205307262568,0.023173576815642454
2022-02-28,0.008670139470013946,0.02693895536959554,-0.01826881589958159
2022-03-31,-0.10692036401673641,-0.12319124965132495,0.016270885634588547
2022-04-29,-0.017698536959553694,-0.04576379526462395,0.028065258305070256
2022-05-31,-0.07569855509065551,-0.06480197210599721,-0.010896582984658301
2022-06-30,0.09414975558659218,0.0833275782122905,0.010822177374301675
2022-07-29,-0.004296138461538462,0.0014583524475524474,-0.0057544909090909094
2022-08-31,-0.10632056223776223,-0.10337733426573427,-0.0029432279720279647
2022-09-30,0.0950885294117647,0.04003851540616246,0.055050014005602235
2022-10-31,0.028533025245441795,-0.04615235624123422,0.07468538148667601
2022-11-30,-0.05303773802816901,-0.06780828450704225,0.014770546478873242
2022-12-30,0.1302530861581921,0.2082721579689704,-0.0780190718107783
2023-01-31,-0.027932616147308784,-0.04927291501416431,0.021340298866855525
2023-02-28,-0.03710908262108262,-0.0826150754985755,0.04550599287749288
2023-03-31,-0.018455882857142857,-0.00650919857142857,-0.011946684285714286
2023-04-28,0.0010180802292263605,0.027505974212034382,-0.02648789398280802
2023-05-31,0.08112863021582734,0.06225440287769784,0.018874227338129497
2023-06-30,0.05536112265512265,0.054914351585014405,0.0004467710701082442
2023-07-31,-0.035014557163531114,-0.0886726497829233,0.05365809261939219
2023-08-31,-0.05410136231884058,-0.08217466859623734,0.028073306277396765
2023-09-29,-0.07090672383720929,-0.09893615988372093,0.028029436046511633
2023-10-31,0.0979735912408759,0.08569173576642336,0.012281855474452541
2023-11-30,0.11629393529411765,0.1322690176470588,-0.015975082352941164
2023-12-29,-0.0213330382916053,-0.031349114874815905,0.010016076583210604
2024-01-31,0.08918843215339234,0.059514471976401175,0.029673960176991164
2024-02-29,0.032139831360946745,0.02932765976331361,0.002812171597633136
2024-03-28,-0.07409977037037037,-0.07031633185185185,-0.00378343851851852
2024-04-30,0.08549886666666666,0.06163044296296297,0.023868423703703692
2024-05-31,-0.034489268945022286,-0.03412281426448737,-0.0003664546805349153
2024-06-28,0.08319673731343283,0.08223818656716418,0.0009585507462686466
2024-07-31,-0.018663152694610777,-0.032092647234678626,0.013429494540067848
2024-08-30,0.0001228140929535238,0.00012968562874251453,-6.871535788990739e-06
2024-09-30,-7.321654135338326e-05,0.023314305263157895,-0.02338752180451128
2024-10-31,0.09946690060240963,0.15258899398496242,-0.05312209338255279
2024-11-29,-0.030744655068078667,0.03050635703479577,-0.06125101210287444
