event_year,event_type,form,n_matches
2019,appointment,DEFA14A,65
2019,departure,8-K,2089
2019,departure,8-K/A,34
2019,departure,DEF 14A,110
2019,departure,DEFA14A,97
2020,appointment,8-K,1691
2020,appointment,8-K/A,17
2020,appointment,DEF 14A,49
2020,appointment,DEFA14A,58
2020,departure,8-K,2066
2020,departure,8-K/A,29
2020,departure,DEF 14A,69
2020,departure,DEFA14A,113
2021,appointment,8-K,1577
2021,appointment,8-K/A,20
2021,appointment,DEF 14A,45
2021,appointment,DEFA14A,65
2021,departure,8-K,2009
2021,departure,8-K/A,27
2021,departure,DEF 14A,82
2021,departure,DEFA14A,76
2022,appointment,8-K,1418
2022,appointment,8-K/A,36
2022,appointment,DEF 14A,47
2022,appointment,DEFA14A,61
2022,departure,8-K,1933
2022,departure,8-K/A,39
2022,departure,DEF 14A,95
2022,departure,DEFA14A,85
2023,appointment,8-K,1173
2023,appointment,8-K/A,33
2023,appointment,DEF 14A,29
2023,appointment,DEFA14A,43
2023,departure,8-K,1708
2023,departure,8-K/A,48
2023,departure,DEF 14A,78
2023,departure,DEFA14A,81
2024,appointment,8-K,908
2024,appointment,8-K/A,18
2024,appointment,DEF 14A,37
2024,appointment,DEFA14A,58
2024,departure,8-K,1437
2024,departure,8-K/A,25
2024,departure,DEF 14A,57
2024,departure,DEFA14A,81
