date,long,short,long_short,strategy,q,weighting
2015-01-30,0.06456448744460856,0.08574677252584934,-0.021182285081240773,all,5,equal
2015-02-27,-0.020168397037037038,0.006851587278106509,-0.027019984315143547,all,5,equal
2015-03-31,0.023175167407407406,-0.005552404444444445,0.028727571851851853,all,5,equal
2015-04-30,0.00933053037037037,0.01636696301775148,-0.007036432647381109,all,5,equal
2015-05-29,-0.007137838518518519,-0.004058032592592593,-0.003079805925925926,all,5,equal
2015-06-30,-0.06605175667655787,-0.038225044444444446,-0.027826712232113422,all,5,equal
2015-07-31,-0.021292122418879057,-0.0641055796460177,0.04281345722713864,all,5,equal
2015-08-31,-0.07493948377581121,-0.07750467109144543,0.0025651873156342236,all,5,equal
2015-09-30,0.062441778603268945,0.03195674183976261,0.030485036763506335,all,5,equal
2015-10-30,0.017000980740740742,0.019529179259259257,-0.002528198518518515,all,5,equal
2015-11-30,-0.04846392284866469,-0.0500592121661721,0.001595289317507416,all,5,equal
2015-12-31,-0.10524544843049327,-0.13588153961136024,0.030636091180866964,all,5,equal
2016-01-29,0.0011709759398496234,-0.0059280165413533835,0.007098992481203006,all,5,equal
2016-02-29,0.1126475256797583,0.08596580392156863,0.02668172175818967,all,5,equal
2016-03-31,0.06476633990895296,0.05297367272727273,0.011792667181680233,all,5,equal
2016-04-29,-0.0041136524390243895,0.013090565548780487,-0.017204217987804877,all,5,equal
2016-05-31,0.0034455152439024387,-0.021214739329268293,0.024660254573170733,all,5,equal
2016-06-30,0.06876396937212864,0.06326729402756509,0.005496675344563551,all,5,equal
2016-07-29,0.04085494930875576,0.02721404294478528,0.01364090636397048,all,5,equal
2016-08-31,0.04682770633693972,0.04261978516228748,0.0042079211746522405,all,5,equal
2016-09-30,-0.06792395348837209,-0.07328098759689923,0.005357034108527142,all,5,equal
2016-10-31,0.10166966925465838,0.07410059069767443,0.027569078556983956,all,5,equal
2016-11-30,0.01892397511664075,0.011927944012441679,0.006996031104199069,all,5,equal
2016-12-30,0.04352799687987519,0.013783135725429016,0.029744861154446176,all,5,equal
2017-01-31,0.014780515625,0.030930478125,-0.0161499625,all,5,equal
2017-02-28,0.011072139498432602,0.01591329153605016,-0.004841152037617556,all,5,equal
2017-03-31,-0.014834351648351648,0.005175518053375196,-0.020009869701726843,all,5,equal
2017-04-28,-0.03180569905956113,-0.030138982758620692,-0.0016667163009404344,all,5,equal
2017-05-31,0.056897600628930824,0.04364659905660377,0.013251001572327052,all,5,equal
2017-06-30,-0.0096344568288854,-0.0046744929356357925,-0.004959963893249608,all,5,equal
2017-07-31,-0.012998985849056604,-0.008778251572327044,-0.00422073427672956,all,5,equal
2017-08-31,0.11476113744075829,0.050136843601895735,0.06462429383886256,all,5,equal
2017-09-29,-0.009442662957074723,-0.007655941269841269,-0.001786721687233453,all,5,equal
2017-10-31,0.05434007006369426,0.024574302066772656,0.029765767996921606,all,5,equal
2017-11-30,0.023401101910828025,0.02267957484076433,0.000721527070063694,all,5,equal
2017-12-29,0.03571499840510367,0.025260153110047846,0.010454845295055824,all,5,equal
2018-01-31,-0.02210459649122807,-0.04390610207336523,0.021801505582137164,all,5,equal
2018-02-28,0.020901463258785943,0.0013923578274760385,0.019509105431309903,all,5,equal
2018-03-29,0.0147395328,0.0091842304,0.0055553024,all,5,equal
2018-04-30,0.07161992651757189,0.06284201916932908,0.008777907348242811,all,5,equal
2018-05-31,0.013240218849840257,0.011018452076677317,0.00222176677316294,all,5,equal
2018-06-29,0.009138988871224165,-0.008942634340222575,0.01808162321144674,all,5,equal
2018-07-31,0.04899203650793651,0.03158883650793651,0.0174032,all,5,equal
2018-08-31,-0.024784968304278922,-0.0078080206022187,-0.01697694770206022,all,5,equal
2018-09-28,-0.10401989523809524,-0.10909843968253968,0.005078544444444444,all,5,equal
2018-10-31,-0.013289912698412698,-0.010235996825396826,-0.003053915873015872,all,5,equal
2018-11-30,-0.15616142356687898,-0.12797527070063694,-0.028186152866242042,all,5,equal
2018-12-31,0.19570944888178915,0.15789140734824283,0.037818041533546315,all,5,equal
2019-01-31,0.06838361538461539,0.05213583012820513,0.016247785256410262,all,5,equal
2019-02-28,-0.015791130016051362,-0.013723213483146068,-0.002067916532905294,all,5,equal
2019-03-29,0.019378247588424435,0.027939495176848874,-0.008561247588424439,all,5,equal
2019-04-30,-0.09396738141025641,-0.08532118269230769,-0.008646198717948722,all,5,equal
2019-05-31,0.04228567891373802,0.06528603833865815,-0.023000359424920125,all,5,equal
