date,one_way_turnover,strategy,q,weighting
2019-02-28,0.5256410256410257,all_high_spread_months,5,equal
2019-05-31,0.6022364217252396,all_high_spread_months,5,equal
2019-06-28,0.6826156299840509,all_high_spread_months,5,equal
2019-07-31,0.9205087440381559,all_high_spread_months,5,equal
2019-08-30,0.6534181240063593,all_high_spread_months,5,equal
2019-09-30,0.7161084529505582,all_high_spread_months,5,equal
2019-10-31,0.4513556618819776,all_high_spread_months,5,equal
2019-11-29,0.6666666666666667,all_high_spread_months,5,equal
2019-12-31,0.6762820512820513,all_high_spread_months,5,equal
2020-03-31,0.7736757624398073,all_high_spread_months,5,equal
2020-04-30,0.6934189406099518,all_high_spread_months,5,equal
2020-06-30,0.8009630818619583,all_high_spread_months,5,equal
2021-01-29,1.2206790123456788,all_high_spread_months,5,equal
2021-03-31,0.8378787878787878,all_high_spread_months,5,equal
2021-04-30,0.41167664670658677,all_high_spread_months,5,equal
2021-05-28,0.5625,all_high_spread_months,5,equal
2021-06-30,0.7299272286234081,all_high_spread_months,5,equal
2021-08-31,0.4729988231429154,all_high_spread_months,5,equal
2021-09-30,0.3447782546494993,all_high_spread_months,5,equal
2021-11-30,0.48205566260752103,all_high_spread_months,5,equal
2021-12-31,0.3730715287517532,all_high_spread_months,5,equal
2022-01-31,1.2067039106145252,all_high_spread_months,5,equal
2022-02-28,0.37238493723849375,all_high_spread_months,5,equal
2022-03-31,0.3333333333333333,all_high_spread_months,5,equal
2022-04-29,0.45297257607720187,all_high_spread_months,5,equal
2022-05-31,0.5059323317910047,all_high_spread_months,5,equal
2022-06-30,0.6178521617852162,all_high_spread_months,5,equal
2022-07-29,0.5279329608938548,all_high_spread_months,5,equal
2022-08-31,0.46153846153846156,all_high_spread_months,5,equal
2022-09-30,0.3622377622377623,all_high_spread_months,5,equal
2022-10-31,0.3333333333333333,all_high_spread_months,5,equal
2022-11-30,0.3422159887798037,all_high_spread_months,5,equal
2022-12-30,0.5084507042253521,all_high_spread_months,5,equal
2023-01-31,0.5560668722558231,all_high_spread_months,5,equal
2023-02-28,0.34135977337110485,all_high_spread_months,5,equal
2023-03-31,0.34900284900284895,all_high_spread_months,5,equal
2023-04-28,0.3957142857142857,all_high_spread_months,5,equal
2023-05-31,0.4083094555873926,all_high_spread_months,5,equal
2023-06-30,0.6690647482014388,all_high_spread_months,5,equal
2023-07-31,0.31866212557855206,all_high_spread_months,5,equal
2023-08-31,0.38205499276411,all_high_spread_months,5,equal
2023-09-29,0.44313639128337423,all_high_spread_months,5,equal
2023-10-31,0.49273255813953487,all_high_spread_months,5,equal
2023-11-30,0.34306569343065696,all_high_spread_months,5,equal
2023-12-29,0.4941176470588235,all_high_spread_months,5,equal
2024-01-31,0.6318114874815906,all_high_spread_months,5,equal
2024-02-29,0.3628318584070796,all_high_spread_months,5,equal
2024-04-30,0.4704142011834319,all_high_spread_months,5,equal
2024-05-31,0.37037037037037035,all_high_spread_months,5,equal
2024-06-28,0.62555720653789,all_high_spread_months,5,equal
2024-07-31,0.7283582089552239,all_high_spread_months,5,equal
2024-09-30,0.5145381881975959,all_high_spread_months,5,equal
2024-10-31,0.36390977443609024,all_high_spread_months,5,equal
2015-01-30,,all,5,value
2015-02-27,0.8209699656947314,all,5,value
2015-03-31,1.3986344586776551,all,5,value
2015-04-30,0.8186098266247177,all,5,value
2015-05-29,1.2568092867607064,all,5,value
2015-06-30,1.4882394903361604,all,5,value
2015-07-31,0.5327478658876721,all,5,value
2015-08-31,0.7065986989580073,all,5,value
2015-09-30,0.8423018842815156,all,5,value
2015-10-30,1.3117008259885556,all,5,value
2015-11-30,1.3288474327150535,all,5,value
2015-12-31,0.6261077863891256,all,5,value
2016-01-29,1.5164465452522244,all,5,value
2016-02-29,1.4673447158416868,all,5,value
2016-03-31,0.587107867635885,all,5,value
2016-04-29,1.134771341712409,all,5,value
2016-05-31,1.25961090089962,all,5,value
2016-06-30,1.1811711341306907,all,5,value
2016-07-29,1.1608376297036356,all,5,value
2016-08-31,1.0264584473705056,all,5,value
2016-09-30,0.5098550361872601,all,5,value
2016-10-31,0.6181538483942423,all,5,value
2016-11-30,0.7856094656535544,all,5,value
2016-12-30,0.724802475808072,all,5,value
2017-01-31,0.8941923529736812,all,5,value
2017-02-28,0.8722303481582069,all,5,value
2017-03-31,0.4365658892620295,all,5,value
2017-04-28,0.8772612725390083,all,5,value
2017-05-31,0.6517884425855929,all,5,value
2017-06-30,1.1823329289610804,all,5,value
2017-07-31,0.41002053887391743,all,5,value
2017-08-31,0.7039748682019457,all,5,value
2017-09-29,0.8736831183951919,all,5,value
2017-10-31,0.7526027707969276,all,5,value
2017-11-30,0.7707904824509322,all,5,value
2017-12-29,0.9654910950887062,all,5,value
2018-01-31,1.3593262164719817,all,5,value
2018-02-28,1.0143748319195163,all,5,value
2018-03-29,1.3211380792414813,all,5,value
2018-04-30,1.3287280696065835,all,5,value
2018-05-31,0.5737699809537568,all,5,value
2018-06-29,1.2527087127480963,all,5,value
2018-07-31,1.4087743521249319,all,5,value
2018-08-31,0.5798267041887881,all,5,value
2018-09-28,1.4429630597472674,all,5,value
2018-10-31,1.47247938170692,all,5,value
2018-11-30,1.0482858650039153,all,5,value
2018-12-31,0.5321177114706982,all,5,value
2019-01-31,1.1217616026944617,all,5,value
2019-02-28,1.0874822045827681,all,5,value
2019-03-29,1.3043211248701323,all,5,value
2019-04-30,1.367090507758963,all,5,value
2019-05-31,0.692060115378593,all,5,value
2019-06-28,1.3905622782894957,all,5,value
2019-07-31,1.6285088057768438,all,5,value
2019-08-30,1.4899497122420722,all,5,value
2019-09-30,1.5069386163716894,all,5,value
2019-10-31,1.0138012266351744,all,5,value
2019-11-29,1.3168548275283083,all,5,value
2019-12-31,1.246202563229656,all,5,value
2020-01-31,1.133508555469418,all,5,value
2020-02-28,1.486815427397392,all,5,value
2020-03-31,1.4968727655916731,all,5,value
2020-04-30,1.3525959896242914,all,5,value
2020-05-29,1.4244439972746907,all,5,value
2020-06-30,1.5172250500858118,all,5,value
2020-07-31,0.5639018850412464,all,5,value
2020-08-31,0.8847240828650899,all,5,value
2020-09-30,0.3979911353383335,all,5,value
2020-10-30,0.9443902715865157,all,5,value
2020-11-30,1.3246080148048391,all,5,value
2020-12-31,0.5244275139034875,all,5,value
2021-01-29,1.7411339036651579,all,5,value
2021-02-26,0.5166892735764241,all,5,value
2021-03-31,0.7989515319298336,all,5,value
2021-04-30,0.4074520868834187,all,5,value
2021-05-28,0.8934159087948663,all,5,value
2021-06-30,1.1169972382462003,all,5,value
2021-07-30,0.9044190767215654,all,5,value
2021-08-31,0.8101498057993549,all,5,value
2021-09-30,0.4840049021692978,all,5,value
2021-10-29,0.9319056564278047,all,5,value
2021-11-30,1.0721052007576448,all,5,value
2021-12-31,0.624145231658338,all,5,value
2022-01-31,1.760149032457426,all,5,value
2022-02-28,0.6442855506681032,all,5,value
2022-03-31,0.4080063348864027,all,5,value
2022-04-29,0.7276873501397957,all,5,value
2022-05-31,0.7640563893421266,all,5,value
2022-06-30,0.9404217893327783,all,5,value
2022-07-29,0.8075719342023977,all,5,value
2022-08-31,0.8384216450595662,all,5,value
2022-09-30,0.5299301467011733,all,5,value
