strategy,q,weighting,n_obs,n_months,mean_turnover,mean_ann,vol_ann,sharpe,max_drawdown,net10_mean_ann,net10_sharpe,alpha_month,alpha_ann,t_alpha,boot_mean_ann,boot_ci_low,boot_ci_high,nw_t_monthly_return
tangible_heavy,5,equal,192704,119,0.6038124975890965,0.1335028774344338,0.10772307372661821,1.2393155228121329,-0.048374957976073385,0.12631801611858368,1.173263291901178,0.011768781653983889,0.14122537984780667,3.741810698940908,0.13738175275754647,0.077167619470115,0.19908859700320225,4.115489859514885
all_high_spread_months,10,equal,185394,55,0.6298259266279174,0.2613691745895058,0.21760739468691498,1.2011042867617323,-0.17786497934926582,0.2539486800357806,1.1672907708499032,0.02369276919636994,0.2843132303564393,3.071553496660786,0.24701627315203192,0.11559512224965224,0.38501978360610534,2.801777855033043
intangible_heavy,10,equal,192762,119,0.6273067158054033,0.2776563428058721,0.2320127457358838,1.1967288345526825,-0.23894898060459469,0.27019192003628834,1.1646547086912276,0.022375403620854013,0.26850484345024817,3.3122061253523665,0.26393216530621266,0.13102403546192284,0.42331984840744125,3.589347032342388
all,10,equal,392596,119,0.6197290613542691,0.2248630199007115,0.1887092626611127,1.1915844337992265,-0.2156692018941183,0.21748876485131952,1.1526942878582365,0.018612087111854123,0.22334504534224947,3.390625431346535,0.22293815079080478,0.10061465467429467,0.35663442681313745,3.421328320683406
tangible_heavy,10,equal,192704,119,0.6658561815353371,0.2067082185481502,0.1736849337218252,1.190133272464584,-0.0827945092024539,0.19878508953088941,1.1449167894515515,0.018282749255095043,0.21939299106114052,3.4525349237638445,0.2205673224695038,0.13429676838553375,0.323095132789867,3.950637674371805
high_ocf_state,10,equal,196325,119,0.6666884454252691,0.26461045286056717,0.22556023349516077,1.1731254608150785,-0.24799242524599052,0.2566774206023974,1.1379393474922332,0.021566533816108242,0.25879840579329894,3.253689499737467,0.2561410392401519,0.12335956280353495,0.39237522886061577,3.5425572032523234
low_analyst_coverage,10,equal,100106,83,0.6822304100415575,0.21676922125182757,0.19134555693536975,1.1328678058881978,-0.2416049444870736,0.20868109205326257,1.0903534949513598,0.015871503248832127,0.1904580389859855,2.529813001550957,0.2250925517092235,0.0704700161809251,0.39739662399207765,2.3245862853076185
low_analyst_intangible,10,equal,50592,83,0.705524766007471,0.26568861017818973,0.24555374992595919,1.0819977713975117,-0.3225036328682447,0.25732431656672766,1.0479373183173675,0.021511032871344773,0.2581323944561373,2.5598324940276314,0.2606071632274527,0.09066438244503315,0.466754746000083,2.313204779276822
low_analyst_coverage_high_spread_months,10,equal,53210,43,0.7227119876474161,0.24397113942082366,0.23018325667920106,1.0598995901810457,-0.20792963502771755,0.23550028263537487,1.0232828321767649,0.019367818563848838,0.23241382276618605,1.975985790312765,0.22936760020186792,-0.025780896754685523,0.5495599272896982,1.625691000673661
high_ocf_state,5,equal,196325,119,0.6035789517354095,0.1682647326822923,0.15891039877455018,1.0588654611647745,-0.2326499575562586,0.16108265036584402,1.013836029202745,0.014617427238579714,0.17540912686295657,3.1407043814022995,0.16968377342106758,0.06677764238253349,0.2888502854934026,2.9944466309891435
low_analyst_coverage,5,equal,100106,83,0.5859991789263036,0.14025131880322525,0.14157041056342634,0.9906824331797066,-0.2297597886712659,0.1333040514289664,0.9417228310304122,0.010771393879076123,0.1292567265489135,2.3689298931624787,0.1542704327089889,0.023460644292193522,0.26637706263684247,2.0959164149154073
all,5,equal,392596,119,0.5445765957861893,0.13188728107506142,0.13508519510128963,0.9763266875853394,-0.2539589244860504,0.12540727721259723,0.9288017619691573,0.011617375318577611,0.13940850382293135,3.163135426059792,0.13293489069288086,0.03638139601580793,0.23443231038892604,2.7515756183711613
