date,alpha_month,alpha_ann,t_alpha,n_months
1999-12-31,0.008896771648630647,0.10676125978356776,2.0859032546804785,60
2000-01-31,0.009800197699867914,0.11760237239841496,1.9298518454906692,60
2000-02-29,0.013123032109806691,0.1574763853176803,1.8240637989908148,60
2000-03-31,0.012641881467983567,0.1517025776158028,1.8576788452130721,60
2000-04-28,0.010774263434705764,0.12929116121646916,1.7462652464146007,60
2000-05-31,0.017430500226338984,0.2091660027160678,1.860120221914318,60
2000-06-30,0.01682271152054618,0.20187253824655416,1.8035211085556508,60
2000-07-31,0.01735000171470167,0.20820002057642004,1.8226830120209627,60
2000-08-31,0.017910056492676164,0.21492067791211397,1.824982149036737,60
2000-09-29,0.017812225481079386,0.21374670577295263,1.8012705077841071,60
2000-10-31,0.01719834516855721,0.2063801420226865,1.6684289736198354,60
2000-11-30,0.017029700619181066,0.2043564074301728,1.6926792630243972,60
2000-12-29,0.014021344480240165,0.16825613376288198,1.4149668371130886,60
2001-01-31,0.006088279425546802,0.07305935310656163,0.6474440691862666,60
2001-02-28,0.0060363571784053625,0.07243628614086435,0.5990899257755635,60
2001-03-30,0.005652613843320423,0.06783136611984508,0.5927804706916875,60
2001-04-30,0.005412910255362355,0.06495492306434826,0.567105334868548,60
2001-05-31,0.006282391629750486,0.07538869955700583,0.6596097840288332,60
2001-06-29,0.006132689736605142,0.0735922768392617,0.6458453620380012,60
2001-07-31,0.005633236994036016,0.06759884392843218,0.5764467270683125,60
2001-08-31,0.004095855887938843,0.049150270655266115,0.40448291434239053,60
2001-09-28,0.0066722047742341336,0.0800664572908096,0.705631403855391,60
2001-10-31,0.008848950778591016,0.10618740934309219,0.9705632388877219,60
2001-11-30,0.00918062546297298,0.11016750555567577,0.9978697379386351,60
2001-12-31,0.00837431633990834,0.10049179607890009,0.8950409912771876,60
2002-01-31,0.008244842783942444,0.09893811340730933,0.88479272139402,60
2002-02-28,0.008974672747930665,0.10769607297516798,0.9670990777168177,60
2002-03-28,0.009559104458903032,0.11470925350683639,0.9835920984666094,60
2002-04-30,0.008943923422610477,0.10732708107132573,0.9092783737481508,60
2002-05-31,0.007559892347558602,0.09071870817070322,0.7561585484799217,60
2002-06-28,0.006825950452253263,0.08191140542703916,0.6842642302250725,60
2002-07-31,0.005431470297019979,0.06517764356423975,0.5804738045752095,60
2002-08-30,0.003126114955438076,0.037513379465256916,0.31660938511809433,60
2002-09-30,0.005894090316775505,0.07072908380130606,0.6208976167130044,60
2002-10-31,0.00813936500701488,0.09767238008417857,0.8808972432785551,60
2002-11-29,0.006902980120213632,0.08283576144256358,0.7670638729953141,60
2002-12-31,0.006926009919356782,0.08311211903228138,0.7691783917467381,60
2003-01-31,0.005826909279308411,0.06992291135170094,0.6437502008493363,60
2003-02-28,0.006023131793615324,0.07227758152338389,0.6831548001726413,60
2003-03-31,0.007081859610430252,0.08498231532516302,0.8207926181320705,60
2003-04-30,0.009902387186090069,0.11882864623308083,1.1549347233970981,60
