one_way_bps,mean_ann,vol_ann,sharpe,max_drawdown,alpha_ann
0,0.01668468630709433,0.1501708003564351,0.11110473053012107,-0.6008624039001699,0.01668468630709433
5,0.015215320325885026,0.15017465672056182,0.10131749696086872,-0.6124973188677094,0.015215320325885026
10,0.013745954344675732,0.15017860804358082,0.09153070815975833,-0.6237945769755548,0.013745954344675732
25,0.00933785640104781,0.1501910316901435,0.06217319566931652,-0.6557565707015132,0.00933785640104781
50,0.0019910264950013094,0.15021363621080408,0.013254632170725025,-0.7031307129535256,0.0019910264950013094
100,-0.012702633317091719,0.1502659604165566,-0.08453433686430635,-0.7900977695903003,-0.012702633317091719
