event_day,ocf_bucket,mean_car,median_car,n_events
1,1,0.0010798455094082234,4.099999999995774e-05,67441
1,2,0.000886435593611255,0.0,69372
1,3,0.0008098391586212142,0.0,78823
1,4,0.0012931434075143162,0.0,85916
1,5,0.001161109889759256,0.0,62681
2,1,0.0017055216416791772,0.0005553086979999122,67433
2,2,0.0011481126042087472,0.00032051615899997277,69366
2,3,0.0017795361515870777,0.00042790020649996485,78814
2,4,0.0024569937609574184,6.627680000370617e-07,85907
2,5,0.0013004097814338117,-8.405800000499397e-08,62672
3,1,0.0023135448533288163,0.0008478290509998931,67018
3,2,0.0018963097884056766,0.0005717740201298671,69108
3,3,0.0022240182901725096,0.001089927783166189,78611
3,4,0.0028019494823809245,0.000806483414958592,85743
3,5,0.0023744927045856023,-1.1769715035914174e-07,62596
4,1,0.003941925339648138,0.0019559754850093647,67017
4,2,0.002842536331463895,0.0013887381876680482,69105
4,3,0.0029644862005071865,0.0013070165009325674,78586
4,4,0.003750193930215345,0.0010775942490949264,85726
4,5,0.0034331127939401605,0.0,62580
5,1,0.003873869960053846,0.002332813123185451,67014
5,2,0.0034924028484442596,0.0018865322889149994,69099
5,3,0.0034876474462308036,0.0013535439136187488,78578
5,4,0.003671491384622946,0.0008065965733896618,85714
5,5,0.004497665182147846,-2.2787616654751375e-07,62568
6,1,0.004160290082489259,0.002551496139922227,67014
6,2,0.0039600159376096565,0.0019329821571669736,69097
6,3,0.003716726836583093,0.0013654325032392833,78577
6,4,0.003923724547998658,0.0009714204523663117,85710
6,5,0.005312448326242841,-1.2726563832776705e-06,62556
7,1,0.004493257445451257,0.0027894984969693004,67014
7,2,0.0042891116735748105,0.0021866305643316597,69095
7,3,0.0035453231713905,0.0012681218503014513,78575
7,4,0.0038899116341017566,0.0006785734944660948,85700
7,5,0.004937775606604154,-0.000535700258614269,62539
8,1,0.005152945775938754,0.0032140381720537903,67011
8,2,0.004642822945992141,0.0023785721684036476,69090
8,3,0.004007627311902426,0.0013836171219163695,78571
8,4,0.004484235573875959,0.001582856417637446,85691
8,5,0.005972372569395376,-4.330304518296302e-07,62520
9,1,0.005609139408337772,0.003867872984379739,67011
9,2,0.0048962132282393996,0.002757538550492322,69086
9,3,0.004292003432993473,0.0021889679218667357,78568
9,4,0.004878545417793135,0.0016209396563739986,85680
9,5,0.006642815594723215,-7.63376708790009e-07,62510
10,1,0.005729805592524817,0.003999020644844031,67010
10,2,0.004880017377720852,0.0028210498768241887,69081
10,3,0.003961174094421452,0.001958341321400159,78565
10,4,0.0048289017786128045,0.001473158695968646,85669
10,5,0.006632793531182482,-8.786718068698463e-07,62493
11,1,0.006380764117539221,0.005302965112685687,67000
11,2,0.005956152453972948,0.003962019105396064,69072
11,3,0.004383333547180508,0.002710297592986688,78563
11,4,0.005952089576304145,0.002279061389500292,85656
11,5,0.007508394460819466,-1.291101304201625e-07,62474
12,1,0.006683362217806759,0.00549403711026053,66999
12,2,0.006388784395878229,0.004110328883006442,69063
12,3,0.004523724554017197,0.003014479207261389,78562
12,4,0.006590317343488141,0.002562989409856775,85646
12,5,0.008418070911166866,-6.225210896215749e-07,62454
13,1,0.006240112797715312,0.005213566722511942,66999
13,2,0.0060899545174992725,0.004489415712775835,69056
13,3,0.003887814255207886,0.0025977491411574016,78560
13,4,0.006211220100345218,0.002113206092399622,85642
13,5,0.00802080203475832,-7.486426379932354e-07,62439
14,1,0.006732026725087914,0.005768187307134243,66994
14,2,0.006941417967151124,0.00518331934009808,69055
14,3,0.0039578872503686965,0.0028788180669663266,78551
14,4,0.005754689497184155,0.0019636794242917643,85634
14,5,0.008572133732967174,-9.479677816615073e-07,62426
15,1,0.00654907529642634,0.006295603603888589,66994
15,2,0.006861648110468926,0.005145432528756655,69054
15,3,0.00397349740992173,0.002660945285073657,78546
15,4,0.006272495088483186,0.001411432788426037,85624
15,5,0.008681965553049023,-2.081099785999907e-06,62416
16,1,0.006503483183094935,0.0053674936337977375,66993
16,2,0.007477666358561569,0.004484572848746815,69047
16,3,0.004101933932450452,0.0018074856520434723,78532
16,4,0.0060617263889471956,0.0008648324535780461,85609
16,5,0.008610782691575685,-0.0012982539711007268,62402
17,1,0.0065109141411377296,0.004995271741411678,66993
17,2,0.007266942877045293,0.003984910794555763,69035
17,3,0.004367004755592694,0.001569651416846285,78524
17,4,0.005702595371116014,0.0005249596836692794,85604
17,5,0.008823668273553171,-0.0017790295153821134,62393
18,1,0.007411483163458645,0.005841683670388287,66988
18,2,0.008389368071983727,0.004563439919598622,69022
18,3,0.005330230845842695,0.0020660735531667918,78511
18,4,0.0061843503793292225,0.0009255769078997389,85602
18,5,0.00949189386838717,-0.0013301864224680715,62385
19,1,0.008163777439685722,0.005607411795100381,66986
19,2,0.009045018574391914,0.004602177297596821,69013
19,3,0.005800502847498558,0.0020732790386051025,78492
19,4,0.006567150973571322,0.0005577079104152061,85600
19,5,0.010197295573244749,-0.0011405770915411395,62360
20,1,0.009520825305628158,0.006975598578150555,66980
20,2,0.010173777887085726,0.005936410594574726,69010
20,3,0.0070753463531267125,0.0035133218953180556,78480
20,4,0.00740197448545847,0.0017423680565209487,85591
20,5,0.01114643536975374,-0.0013578173564550156,62339
21,1,0.010353940459595663,0.007903817766964583,66971
21,2,0.0108883199385294,0.006810066096227363,68999
21,3,0.007888482357757664,0.004295791881050892,78466
21,4,0.008296305984800374,0.002855266851016225,85577
21,5,0.012120288552328044,-0.0010610154120075377,62323
22,1,0.011931070022751364,0.00888756881419539,66927
22,2,0.012620309110945329,0.007201931100108805,68983
22,3,0.00933078349628266,0.005032921053009232,78434
22,4,0.009736910023223185,0.0036721344465944217,85529
22,5,0.013297922977582664,-0.0006781566703034647,62288
23,1,0.012556469125225744,0.009397536737465906,66897
23,2,0.012758163484646595,0.007385126586420432,68941
23,3,0.009457671109781242,0.005155611758806966,78396
23,4,0.009606446604234471,0.003827148957315396,85486
23,5,0.013608752820003418,-0.000828445755430729,62252
24,1,0.013169316218809724,0.009934379522970715,66895
24,2,0.01315144725117837,0.007635762324855744,68935
24,3,0.009703546198496608,0.005149950542854054,78391
24,4,0.010347436064978451,0.0037436211078148984,85474
24,5,0.014299656671806424,-0.00030444396699480514,62237
25,1,0.013781199745675486,0.010397246400425608,66887
25,2,0.013914215011220914,0.008332988116618312,68929
25,3,0.010097840336971094,0.005372173371834155,78375
25,4,0.010786500201495691,0.004149628487992496,85460
25,5,0.014417787886666736,-2.1248811697405223e-06,62222
26,1,0.014600686092788912,0.010998251430564654,66882
26,2,0.014551086202199864,0.008362296399751279,68926
26,3,0.01014619502674512,0.005877207626249992,78370
26,4,0.011287123927132289,0.0039136530768585365,85450
26,5,0.01495796391188423,-3.060971528356937e-06,62198
27,1,0.014924873634887707,0.010940728950025957,66876
27,2,0.01451462452799407,0.007860346290498255,68925
27,3,0.0102428542413002,0.006030340221218955,78360
27,4,0.011508203709642471,0.004255769574119439,85434
27,5,0.01478219922405155,-0.0003882809732146386,62186
28,1,0.015399945889802147,0.011705783591457575,66868
28,2,0.01508378628297565,0.008317852003943416,68916
28,3,0.010891940430886005,0.006207054576467197,78349
28,4,0.012251668616846508,0.004649292689314022,85423
28,5,0.0150964447778036,-2.4470471950976957e-06,62173
29,1,0.016626762208509005,0.012686644494247501,66864
29,2,0.016003345082866986,0.009708092370218413,68914
29,3,0.01219952002044727,0.006740945374493101,78345
29,4,0.012780144555598833,0.005396048066791614,85409
29,5,0.01529186147951133,-2.576312347124521e-06,62160
30,1,0.017083456872693442,0.01307537813543691,66859
30,2,0.0161493731788123,0.009900516116847169,68902
30,3,0.012309004469021457,0.007345335306912615,78340
30,4,0.013007323049866923,0.005509549981732587,85385
30,5,0.015591748082676072,-1.23076119934451e-06,62146
31,1,0.017734620548752508,0.014082493715055433,66853
31,2,0.016867902342657722,0.010101646016794641,68897
31,3,0.013087982835649225,0.007616775328310288,78326
31,4,0.013834661775402502,0.005724846903176983,85379
31,5,0.01654154677103619,-1.0196990951616414e-06,62126
32,1,0.01902148117516106,0.014867501467648037,66851
32,2,0.018061432286055414,0.011338095169105111,68891
32,3,0.014092523211908629,0.008766451071629766,78322
32,4,0.014838015157162368,0.006392972406652042,85371
32,5,0.01771314455198267,-1.3016256117381886e-07,62105
33,1,0.019943614412804452,0.015324711161460058,66847
33,2,0.018632128252697264,0.012066622527217907,68882
33,3,0.014761003397224661,0.009900371956912846,78312
33,4,0.015280082645703817,0.006686788861905102,85357
33,5,0.01825593843964715,-5.538258026627219e-07,62090
34,1,0.020366030794340458,0.016222788097991048,66841
34,2,0.018859685882624735,0.011955941949544524,68874
34,3,0.014640457292185117,0.009982445184611333,78309
34,4,0.015434322905756505,0.0067583797269092916,85347
34,5,0.01880592723455959,-2.6675966569023046e-07,62071
35,1,0.019068289034273034,0.01572300737170107,66840
35,2,0.01755599304044267,0.011764579932153518,68867
35,3,0.013719150551847125,0.009289772117789585,78302
35,4,0.014172890581590072,0.0060507950335535465,85336
35,5,0.01838736735522001,-0.00021565071847140516,62055
36,1,0.019078968526989253,0.01530388659544002,66827
36,2,0.017730384845487057,0.011607436891150402,68854
36,3,0.01383021595012897,0.00902968790432479,78291
36,4,0.013869482582277371,0.005752753332088689,85326
36,5,0.01866362669713908,-1.3660998576803252e-07,62027
37,1,0.019110805931568393,0.0156876838947293,66816
37,2,0.01803396597946606,0.011125003008439327,68842
37,3,0.014118443039136699,0.00902968790432479,78287
37,4,0.014330683380513945,0.006208411739119013,85321
37,5,0.01918882826427639,-0.0006286717114092344,62013
38,1,0.01899538355104399,0.015395401925143437,66807
38,2,0.017985323962348747,0.011441911952765782,68835
38,3,0.013877760645347103,0.008201460541201189,78280
38,4,0.013789438734152181,0.005049931653041684,85303
38,5,0.018551890557871004,-0.0014548639949875097,61993
39,1,0.019520496843117845,0.015151479707663285,66802
39,2,0.018419646925057362,0.011702480695387818,68827
39,3,0.014165349866245078,0.008157148978242379,78278
39,4,0.014291881237496041,0.0052793239631492295,85295
39,5,0.019048117007466878,-0.002279929987347218,61980
40,1,0.019921680106776602,0.016040978215816182,66797
40,2,0.018866024410115492,0.011947446418474561,68813
40,3,0.013997211019964128,0.007730798127512095,78263
