ocf_bin_mid,mean_prediction
-3.7267920127054444,0.01526507399838203
-2.8928204156542128,0.01526507399838203
-2.3937395301877955,0.01529217059974648
-1.9955190518228434,0.014980048574778701
-1.5947608380308302,0.014877807080782417
-1.2422450070654283,0.01433091423362482
-0.9006359455942907,0.013638464066628955
-0.5697080890583976,0.01336431688896022
-0.1501569513123965,0.013083609164317198
0.2675309772050708,0.012863667851431958
0.8005806977360996,0.012764383524980978
1.4060518825275417,0.012458610524846267
2.2267087761925675,0.012688122869456826
3.392646016030381,0.012676719673273334
5.375780692788795,0.014367917584333628
