model,rank_ic_mean,rank_ic_t,oos_r2_mean,mse_mean,n_test_years,n_obs
conditional_autoencoder_sdf_cuda,-0.0013800161451918691,-0.13860032254540072,-0.002581818641920134,0.050600751792987,7,274991
deep_sets_component_proxy_cuda,0.01343289516364575,1.8555702506259841,-0.0010366777900854749,0.0506128682247725,7,274998
elastic_net,-0.04522006651790807,-3.767439022724745,-0.00033175684212352066,0.04263081889200454,10,392596
lightgbm,-0.014554056918594668,-0.9832304370181606,-0.003986041356475412,0.042741348439453555,10,392596
