year,sic2,ocf_bucket,n_obs,mean_ocf,mean_next_excess_return,total_mktcap
1995,1,1,22,-1.725648102203972,0.0394565,2456575.875
1995,1,2,14,-1.2403079771528236,0.020926357142857146,2258286.5
1995,1,3,1,-0.1153475891168112,0.034014,472899.0
1995,7,3,7,-0.08691404777146308,0.02898042857142857,248210.75
1995,7,4,5,0.6117513811967857,-0.0026755999999999993,201690.0
1995,10,1,38,-1.8051265329165647,0.057482,4024094.65217
1995,10,2,38,-0.8642463090110034,0.038226815789473685,16556190.5625
1995,10,3,17,-0.4200260292504624,0.03192423529411765,15516717.625
1995,10,4,28,0.5267486687813078,0.02653989285714286,16745846.375
1995,10,5,17,2.3131469293874822,0.06763570588235295,2227956.4375
1995,12,3,9,0.12319623797458606,0.04576422222222222,9939629.25
1995,12,4,41,0.8586147401596304,-0.009439341463414633,13262698.0
1995,12,5,22,2.9579120443292326,0.009806454545454545,3339480.5
1995,13,1,166,-2.206648738665022,0.01725029518072289,141195527.94990999
1995,13,2,197,-0.9497196329813057,0.015566284263959392,79237509.3125
1995,13,3,226,-0.1933766006582884,0.022067813333333335,256763718.81643
1995,13,4,164,0.7522113695293483,0.01771830487804878,72560293.0625
1995,13,5,167,4.629882857535455,0.01000434730538922,21630963.55893
1995,14,1,11,-2.416452143753865,0.017076727272727275,3308082.5
1995,14,2,11,-0.7956273042230863,0.009597727272727273,3174745.8125
1995,14,3,1,-0.6303788823291179,0.149116,284775.75
1995,14,4,1,1.2802013002056352,0.125,306752.0
1995,15,1,11,-1.5008818430780813,0.028543636363636368,1351705.5
1995,15,2,67,-1.0080548162443548,0.026380597014925372,12606528.625
1995,15,3,33,-0.07052364294366983,0.027541151515151515,14113273.875
1995,15,4,19,0.9571178602480874,0.019830894736842103,5301393.0
1995,15,5,34,3.3119573326309237,0.05197085294117647,3830745.71875
1995,16,1,33,-1.7502744643061625,0.016081424242424244,3933450.1875
1995,16,2,13,-0.9758462690141175,0.0035160000000000052,2339599.75
1995,16,3,6,-0.12590178421435172,0.03659116666666667,1073873.625
1995,16,4,26,0.8012828336497532,0.016784653846153845,57145686.625
1995,16,5,9,2.456619786584353,-0.002131444444444445,1914037.375
1995,17,1,10,-1.709776366342704,0.0200853,67550.0625
1995,17,2,29,-0.7845889666172887,0.016794275862068966,9586466.875
1995,17,3,10,-0.2018187444730481,0.054987699999999994,575042.5
1995,17,4,2,0.9474377569647701,0.013889,148513.5
1995,17,5,3,2.720468958585679,0.04811033333333333,1510624.5625
1995,20,1,214,-4.268000599011033,0.014571378504672898,1130500529.58896
1995,20,2,132,-1.0663635109857517,-0.007028128787878788,47789557.05194
1995,20,3,114,-0.2180333807202819,0.02292184210526316,170540976.4375
1995,20,4,116,0.8821754884824649,0.02258853448275862,931705571.0625
1995,20,5,80,2.2465247376859927,0.02131265,587265355.1875
1995,21,2,3,-0.6318812693744894,0.035389666666666666,21224489.0
1995,21,3,8,-0.4915154946182864,0.060056,60453527.0
1995,21,4,31,0.7069534751674564,0.024487129032258064,613081560.5
1995,21,5,18,3.3316108278103704,0.0678286111111111,311560038.125
1995,22,2,71,-1.1124271937362633,-0.0025054929577464783,35027525.1875
1995,22,3,20,-0.1542446980864109,-0.004105349999999999,6071809.375
1995,22,4,29,1.0119174969048332,0.03786331034482759,8271781.125
1995,22,5,24,2.7576592885253213,0.00032400000000000224,7880642.125
1995,23,1,50,-4.695467115689192,0.039700040000000006,2910747.8125
1995,23,2,48,-1.0467736977114201,0.018203062500000002,12357526.875
1995,23,3,33,-0.1858896675098908,0.0023699696969696976,36112705.0
1995,23,4,79,0.9123434668184135,-0.0345776835443038,45622336.3125
1995,23,5,42,3.1411571806689333,0.010451523809523808,6795514.6875
1995,24,1,20,-1.5202628341128597,0.0720579,890693.4375
1995,24,2,20,-0.7923405471906542,0.010654,15131794.9375
1995,24,3,20,-0.09554083490383314,-0.01809985,21851056.375
1995,24,4,9,0.5194649572446817,0.03802322222222222,10955962.0
1995,24,5,15,2.904862076381122,0.0313954,2633278.1875
1995,25,1,36,-3.046977105681948,0.004965583333333332,27500956.875
1995,25,2,35,-1.1356605802989923,0.006566971428571429,7046000.875
1995,25,3,40,0.0057312614982433325,8.672500000000035e-05,66515462.5
1995,25,4,44,0.5730929564195221,0.011541681818181819,25555184.875
1995,25,5,20,2.562386765281153,0.044553300000000004,10643358.0
1995,26,1,24,-4.405218911187629,0.03224283333333333,141267388.0
1995,26,2,70,-0.9273098575767349,0.02389018571428571,143841578.9375
